text,category
A civic issue has been reported on Main Street near the bus stop,other
The road on Nehru Street is full of potholes near the railway crossing,pothole
No water supply on Gandhi Road in front of the temple for the past week,water
Drain is blocked on Nehru Street near the market for almost a week now,sewage
"Waste dump near Lake View Road near the park entrance is overflowing, several people have complained",garbage
Garbage has not been collected on 5th Cross near the bus stop for the past week,garbage
No water supply on Church Street outside the apartment complex for 2 days,water
Trash is piling up on Temple Street in front of the temple,garbage
Streetlight not working on Main Street in front of the temple since yesterday,electricity
No water supply on River Road near the market for the past week,water
Public bins near Temple Street beside the playground haven't been emptied since last Monday,garbage
Manhole is open and overflowing near River Road near the railway crossing,sewage
There's a major water leak on River Road near the railway crossing for over 3 days,water
General maintenance required on Anna Nagar outside the apartment complex,other
Road damage near Temple Street next to the school has not been fixed for the past week,pothole
Uncollected garbage on Station Road near the hospital gate is causing bad smell,garbage
It's completely dark on Market Street at night in front of the temple,streetlight
Drain is blocked on Station Road in front of the temple for almost a week now,sewage
Streetlight has been off on Station Road outside the apartment complex since yesterday,streetlight
The light pole near Gandhi Road outside the community hall is damaged,streetlight
"Waste dump near Gandhi Road beside the playground is overflowing, it's a serious hazard",garbage
"Drainage water is flooding Hill View Road near the railway crossing, vehicles are struggling to pass",sewage
"Electric pole is damaged on Hill View Road outside the community hall, it needs urgent attention",electricity
Road damage near River Road near the park entrance has not been fixed for the past week,pothole
Manhole is open and overflowing near Temple Street near the railway crossing,sewage
"Sewage is overflowing on MG Road outside the community hall, several people have complained",sewage
No water supply on Main Street near the railway crossing for almost a week now,water
Power cut on Nehru Street outside the apartment complex for the past week,electricity
A civic issue has been reported on 5th Cross near the bus stop,other
Power cut on MG Road near the market since last Monday,electricity
"Sewage is overflowing on Station Road next to the school, residents are worried",sewage
General maintenance required on College Road next to the school,other
Public bins near Temple Street outside the apartment complex haven't been emptied for almost a week now,garbage
Something needs to be fixed on MG Road near the park entrance,other
Streetlight not working on Church Street near the bus stop since last Monday,electricity
There's an issue near Church Street near the bus stop that needs attention,other
"Electric pole is damaged on MG Road outside the apartment complex, it needs urgent attention",electricity
No water supply on Gandhi Road near the hospital gate since yesterday,water
"Drainage water is flooding 5th Cross near the park entrance, residents are worried",sewage
No water supply on Market Street near the market for almost a week now,water
Residents flagged a concern near Nehru Street near the hospital gate,other
Drain is blocked on Lake View Road near the railway crossing for 2 days,sewage
Uncollected garbage on Anna Nagar beside the playground is causing bad smell,garbage
Manhole is open and overflowing near Temple Street near the market,sewage
The road on Lake View Road is full of potholes outside the apartment complex,pothole
Trash is piling up on MG Road near the railway crossing,garbage
No lighting on Main Street in front of the temple makes it unsafe at night,streetlight
Something needs to be fixed on Gandhi Road beside the playground,other
Public bins near Lake View Road near the railway crossing haven't been emptied since yesterday,garbage
"Transformer issue near Market Street next to the school, it needs urgent attention",electricity
No lighting on 5th Cross outside the apartment complex makes it unsafe at night,streetlight
General maintenance required on Market Street outside the apartment complex,other
Water supply has been irregular on Main Street outside the community hall,water
Road damage near Gandhi Road outside the apartment complex has not been fixed for 2 days,pothole
Public bins near Anna Nagar outside the community hall haven't been emptied for the past week,garbage
Public bins near College Road outside the community hall haven't been emptied since last Monday,garbage
General maintenance required on Anna Nagar near the hospital gate,other
No lighting on College Road near the market makes it unsafe at night,streetlight
Multiple streetlights are not working on Gandhi Road near the market,streetlight
Drain is blocked on Church Street outside the community hall for almost a week now,sewage
Drain is blocked on Market Street outside the apartment complex for almost a week now,sewage
Trash is piling up on Anna Nagar outside the community hall,garbage
The light pole near 5th Cross beside the playground is damaged,streetlight
There's an issue near Church Street near the railway crossing that needs attention,other
General maintenance required on 5th Cross near the railway crossing,other
Streetlight not working on Hill View Road in front of the temple since last Monday,electricity
"There's a large pothole on Hill View Road near the park entrance, for 2 days",pothole
"Waste dump near MG Road outside the community hall is overflowing, vehicles are struggling to pass",garbage
"Water pipe burst on River Road outside the apartment complex, it's a serious hazard",water
The light pole near Station Road near the park entrance is damaged,streetlight
The light pole near Gandhi Road next to the school is damaged,streetlight
A civic issue has been reported on 5th Cross near the railway crossing,other
"Huge crater on Main Street outside the community hall, residents are worried",pothole
Water supply has been irregular on College Road next to the school,water
Frequent power outages on Gandhi Road outside the apartment complex,electricity
No lighting on River Road in front of the temple makes it unsafe at night,streetlight
Garbage has not been collected on Anna Nagar near the market since yesterday,garbage
"Waste dump near Church Street in front of the temple is overflowing, it's a serious hazard",garbage
No lighting on Park Avenue outside the community hall makes it unsafe at night,streetlight
There's a major water leak on Church Street outside the community hall since yesterday,water
Sewage smell is unbearable near Church Street in front of the temple since yesterday,sewage
"Water pipe burst on Lake View Road near the park entrance, several people have complained",water
Residents flagged a concern near Nehru Street in front of the temple,other
Water supply has been irregular on 5th Cross near the bus stop,water
There's a major water leak on Lake View Road near the hospital gate for almost a week now,water
General maintenance required on 5th Cross outside the apartment complex,other
Public bins near Market Street near the park entrance haven't been emptied since yesterday,garbage
Road damage near River Road near the park entrance has not been fixed for almost a week now,pothole
Multiple streetlights are not working on Temple Street near the market,streetlight
General maintenance required on Park Avenue outside the community hall,other
"Huge crater on 5th Cross in front of the temple, it's getting dangerous",pothole
"Transformer issue near Church Street near the hospital gate, several people have complained",electricity
Sewage smell is unbearable near Station Road outside the apartment complex for 2 days,sewage
Power cut on Lake View Road near the park entrance for 4 days straight,electricity
Multiple streetlights are not working on Nehru Street in front of the temple,streetlight
Drain is blocked on Anna Nagar beside the playground for 2 days,sewage
A deep pothole has formed on Station Road outside the apartment complex and vehicles are struggling to pass,pothole
General maintenance required on Temple Street in front of the temple,other
Streetlight not working on Station Road near the park entrance for over 3 days,electricity
"Huge crater on River Road near the railway crossing, residents are worried",pothole
Streetlight has been off on Lake View Road in front of the temple for the past week,streetlight
Trash is piling up on Nehru Street near the railway crossing,garbage
"Huge crater on MG Road outside the community hall, it needs urgent attention",pothole
"Electric pole is damaged on Station Road next to the school, several people have complained",electricity
It's completely dark on Lake View Road at night near the park entrance,streetlight
"Drainage water is flooding Gandhi Road beside the playground, it's getting dangerous",sewage
There's a major water leak on Anna Nagar near the market for the past week,water
Public bins near Main Street beside the playground haven't been emptied for the past week,garbage
"There's a large pothole on Main Street in front of the temple, for the past week",pothole
Streetlight not working on Main Street near the bus stop for the past week,electricity
Streetlight has been off on Nehru Street near the park entrance for almost a week now,streetlight
"There's a large pothole on College Road near the railway crossing, since last Monday",pothole
Garbage has not been collected on MG Road in front of the temple for 4 days straight,garbage
"Drainage water is flooding College Road in front of the temple, residents are worried",sewage
Power cut on Market Street near the park entrance for 2 days,electricity
Frequent power outages on 5th Cross near the hospital gate,electricity
Waste dump near Nehru Street near the hospital gate is overflowing,garbage
Road damage near MG Road beside the playground has not been fixed since yesterday,pothole
Streetlight not working on Nehru Street outside the community hall since last Monday,electricity
Trash is piling up on Hill View Road outside the community hall,garbage
"Electric pole is damaged on College Road beside the playground, vehicles are struggling to pass",electricity
General maintenance required on Anna Nagar near the park entrance,other
Drain is blocked on Nehru Street outside the community hall for 4 days straight,sewage
"There's a large pothole on 5th Cross next to the school, for almost a week now",pothole
Streetlight not working on College Road near the railway crossing since yesterday,electricity
Uncollected garbage on Nehru Street near the railway crossing is causing bad smell,garbage
"Drainage water is flooding Temple Street near the bus stop, residents are worried",sewage
Streetlight has been off on Temple Street near the park entrance for the past week,streetlight
"Transformer issue near Market Street near the hospital gate, several people have complained",electricity
Water supply has been irregular on River Road beside the playground,water
"There's a large pothole on Main Street near the market, since last Monday",pothole
Road damage near River Road outside the community hall has not been fixed since last Monday,pothole
There's a major water leak on River Road near the bus stop for 2 days,water
There's a major water leak on Main Street near the bus stop for almost a week now,water
No water supply on River Road next to the school for over 3 days,water
"Waste dump near Nehru Street outside the apartment complex is overflowing, it's getting dangerous",garbage
"There's a large pothole on Nehru Street beside the playground, since last Monday",pothole
Streetlight not working on Nehru Street in front of the temple for the past week,electricity
"Transformer issue near Temple Street outside the apartment complex, several people have complained",electricity
Trash is piling up on Station Road near the market,garbage
Residents flagged a concern near Market Street near the market,other
There's an issue near Park Avenue outside the community hall that needs attention,other
Power cut on 5th Cross near the market since yesterday,electricity
Road damage near Church Street in front of the temple has not been fixed for almost a week now,pothole
Sewage is overflowing on Anna Nagar in front of the temple,sewage
Residents on Station Road have had no water since last Monday,water
Residents on Nehru Street have had no water for almost a week now,water
Road damage near Anna Nagar near the bus stop has not been fixed for 4 days straight,pothole
The road on Lake View Road is full of potholes near the park entrance,pothole
Road damage near Lake View Road near the bus stop has not been fixed for 2 days,pothole
Something needs to be fixed on Station Road outside the community hall,other
A civic issue has been reported on Church Street next to the school,other
There's a major water leak on Anna Nagar next to the school since yesterday,water
Sewage smell is unbearable near Hill View Road near the bus stop for almost a week now,sewage
"Transformer issue near Market Street outside the apartment complex, kids play nearby so it's risky",electricity
A civic issue has been reported on Station Road beside the playground,other
There's an issue near Church Street next to the school that needs attention,other
No water supply on College Road beside the playground for the past week,water
Public bins near Anna Nagar near the railway crossing haven't been emptied since yesterday,garbage
No water supply on MG Road near the market for the past week,water
"Waste dump near College Road near the railway crossing is overflowing, residents are worried",garbage
"Huge crater on Anna Nagar near the railway crossing, kids play nearby so it's risky",pothole
Power cut on Market Street near the market since last Monday,electricity
Streetlight has been off on Church Street in front of the temple for 2 days,streetlight
"There's a large pothole on MG Road near the market, for 2 days",pothole
Trash is piling up on Park Avenue outside the apartment complex,garbage
Streetlight not working on Anna Nagar near the park entrance for over 3 days,electricity
"Waste dump near 5th Cross in front of the temple is overflowing, several people have complained",garbage
There's an issue near Anna Nagar near the railway crossing that needs attention,other
Sewage smell is unbearable near Park Avenue near the hospital gate since last Monday,sewage
Road damage near Station Road beside the playground has not been fixed for over 3 days,pothole
Manhole is open and overflowing near Temple Street outside the apartment complex,sewage
"There's a large pothole on Hill View Road near the market, since last Monday",pothole
Public bins near Lake View Road in front of the temple haven't been emptied for almost a week now,garbage
The light pole near Lake View Road outside the community hall is damaged,streetlight
Frequent power outages on MG Road next to the school,electricity
Road damage near 5th Cross near the railway crossing has not been fixed for the past week,pothole
Manhole is open and overflowing near Park Avenue near the hospital gate,sewage
There's a major water leak on 5th Cross near the market for 4 days straight,water
The light pole near Nehru Street outside the community hall is damaged,streetlight
Manhole is open and overflowing near Park Avenue near the park entrance,sewage
Electric pole is damaged on Church Street near the market,electricity
A civic issue has been reported on Lake View Road near the railway crossing,other
"There's a large pothole on 5th Cross beside the playground, for the past week",pothole
There's an issue near Lake View Road outside the community hall that needs attention,other
"Water pipe burst on Lake View Road outside the community hall, vehicles are struggling to pass",water
It's completely dark on Station Road at night near the railway crossing,streetlight
"Water pipe burst on Hill View Road outside the community hall, several people have complained",water
Multiple streetlights are not working on 5th Cross near the hospital gate,streetlight
Uncollected garbage on Gandhi Road near the hospital gate is causing bad smell,garbage
Drain is blocked on Gandhi Road in front of the temple for over 3 days,sewage
"Huge crater on 5th Cross outside the community hall, it needs urgent attention",pothole
Frequent power outages on MG Road in front of the temple,electricity
Something needs to be fixed on Nehru Street beside the playground,other
Frequent power outages on Nehru Street next to the school,electricity
Residents on Church Street have had no water for over 3 days,water
Drain is blocked on Station Road beside the playground since yesterday,sewage
No lighting on MG Road near the market makes it unsafe at night,streetlight
Streetlight has been off on Nehru Street near the railway crossing for 4 days straight,streetlight
Public bins near Lake View Road near the railway crossing haven't been emptied for 2 days,garbage
Power cut on 5th Cross near the market for 2 days,electricity
"Sewage is overflowing on Station Road near the park entrance, residents are worried",sewage
Manhole is open and overflowing near Nehru Street near the railway crossing,sewage
It's completely dark on Market Street at night near the bus stop,streetlight
Uncollected garbage on Gandhi Road near the railway crossing is causing bad smell,garbage
Water supply has been irregular on Park Avenue outside the community hall,water
Manhole is open and overflowing near Main Street outside the apartment complex,sewage
Trash is piling up on College Road outside the apartment complex,garbage
Streetlight not working on Gandhi Road outside the apartment complex since yesterday,electricity
Streetlight has been off on Nehru Street near the bus stop for the past week,streetlight
Streetlight not working on Anna Nagar near the railway crossing for 2 days,electricity
"Sewage is overflowing on Main Street near the park entrance, it's getting dangerous",sewage
"Electric pole is damaged on Temple Street outside the community hall, it's getting dangerous",electricity
General maintenance required on MG Road next to the school,other
Drain is blocked on College Road outside the community hall since yesterday,sewage
Streetlight not working on Church Street near the market since yesterday,electricity
"Waste dump near Hill View Road next to the school is overflowing, it's getting dangerous",garbage
"Drainage water is flooding Market Street next to the school, vehicles are struggling to pass",sewage
A deep pothole has formed on MG Road beside the playground and residents are worried,pothole
"Sewage is overflowing on Hill View Road near the park entrance, it needs urgent attention",sewage
No water supply on Park Avenue beside the playground since last Monday,water
General maintenance required on Church Street near the hospital gate,other
There's a major water leak on Park Avenue beside the playground since yesterday,water
No water supply on River Road near the park entrance for the past week,water
There's a major water leak on Main Street near the bus stop for over 3 days,water
Trash is piling up on Nehru Street near the hospital gate,garbage
There's an issue near Church Street next to the school that needs attention,other
Residents on Church Street have had no water since yesterday,water
There's an issue near Lake View Road near the bus stop that needs attention,other
Waste dump near Church Street near the bus stop is overflowing,garbage
There's an issue near Market Street next to the school that needs attention,other
The road on Lake View Road is full of potholes in front of the temple,pothole
No lighting on MG Road outside the community hall makes it unsafe at night,streetlight
The light pole near Market Street outside the community hall is damaged,streetlight
Multiple streetlights are not working on Station Road outside the community hall,streetlight
Water pipe burst on Lake View Road next to the school,water
Uncollected garbage on Lake View Road near the hospital gate is causing bad smell,garbage
A deep pothole has formed on River Road beside the playground and vehicles are struggling to pass,pothole
There's a major water leak on Church Street near the railway crossing for almost a week now,water
"Water pipe burst on River Road near the park entrance, vehicles are struggling to pass",water
Frequent power outages on Church Street near the railway crossing,electricity
There's a major water leak on Lake View Road outside the community hall for 4 days straight,water
